,CELL_ID,CELL_TYPE,CELL_CLASS
365,366,Tumor 7,Tumor
416,417,Tumor 7,Tumor
941,942,Tumor 3,Tumor
1854,1855,Tumor 1,Tumor
1838,1839,Tumor 6 / DC,Tumor
1021,1022,Tumor 3,Tumor
81,82,Tumor 4,Tumor
3,4,Tumor 6 / DC,Tumor
397,398,Tumor 7,Tumor
922,923,Tumor 2 (Ki67 Proliferating),Tumor
923,924,Tumor 7,Tumor
932,933,Tumor 1,Tumor
1380,1381,Tumor 1,Tumor
1546,1547,Tumor 7,Tumor
1437,1438,Tumor 2 (Ki67 Proliferating),Tumor
1404,1405,Tumor 2 (Ki67 Proliferating),Tumor
1487,1488,Tumor 4,Tumor
1853,1854,Tumor 7,Tumor
1562,1563,Tumor 6 / DC,Tumor
1577,1578,Tumor 7,Tumor
1834,1835,Tumor 1,Tumor
1805,1806,Tumor 4,Tumor
1776,1777,Tumor 3,Tumor
1706,1707,Tumor 6 / DC,Tumor
1866,1867,Tumor 6 / DC,Tumor
1812,1813,Tumor 3,Tumor
1255,1256,Tumor 3,Tumor
56,57,Tumor 4,Tumor
23,24,Tumor 2 (Ki67 Proliferating),Tumor
908,909,Tumor 7,Tumor
876,877,Tumor 7,Tumor
943,944,Tumor 7,Tumor
912,913,Tumor 1,Tumor
873,874,Tumor 2 (Ki67 Proliferating),Tumor
900,901,Tumor 7,Tumor
905,906,Tumor 1,Tumor
862,863,Tumor 1,Tumor
1552,1553,Tumor 6 / DC,Tumor
1463,1464,Tumor 6 / DC,Tumor
1446,1447,Tumor 6 / DC,Tumor
1439,1440,Tumor 3,Tumor
1588,1589,Tumor 3,Tumor
1755,1756,Tumor 7,Tumor
1819,1820,Tumor 6 / DC,Tumor
1816,1817,Tumor 6 / DC,Tumor
1818,1819,Tumor 6 / DC,Tumor
1823,1824,Tumor 6 / DC,Tumor
1861,1862,Tumor 3,Tumor
1829,1830,Tumor 7,Tumor
1860,1861,Tumor 6 / DC,Tumor
1880,1881,Tumor 6 / DC,Tumor
1259,1260,Tumor 6 / DC,Tumor
1456,1457,Tumor 6 / DC,Tumor
679,680,Tumor 4,Tumor
1234,1235,Tumor 6 / DC,Tumor
1208,1209,Tumor 1,Tumor
944,945,Tumor 7,Tumor
437,438,Tumor 7,Tumor
860,861,Tumor 7,Tumor
631,632,Tumor 3,Tumor
1068,1069,Tumor 7,Tumor
917,918,Tumor 4,Tumor
459,460,Tumor 7,Tumor
443,444,Tumor 7,Tumor
509,510,Tumor 7,Tumor
936,937,Tumor 3,Tumor
1421,1422,Tumor 3,Tumor
1670,1671,Tumor 6 / DC,Tumor
1462,1463,Tumor 1,Tumor
1551,1552,Tumor 7,Tumor
1598,1599,Tumor 6 / DC,Tumor
1590,1591,Tumor 7,Tumor
1511,1512,Tumor 7,Tumor
1461,1462,Tumor 6 / DC,Tumor
1370,1371,Tumor 7,Tumor
1362,1363,Tumor 6 / DC,Tumor
1427,1428,Tumor 1,Tumor
1416,1417,Tumor 6 / DC,Tumor
1403,1404,Tumor 6 / DC,Tumor
1399,1400,Tumor 1,Tumor
1420,1421,Tumor 6 / DC,Tumor
1466,1467,Tumor 1,Tumor
1636,1637,Tumor 7,Tumor
1605,1606,Tumor 7,Tumor
1770,1771,Tumor 3,Tumor
1625,1626,Tumor 6 / DC,Tumor
1792,1793,Tumor 3,Tumor
1793,1794,Tumor 6 / DC,Tumor
1610,1611,Tumor 1,Tumor
1576,1577,Tumor 6 / DC,Tumor
1645,1646,Tumor 2 (Ki67 Proliferating),Tumor
