,CELL_ID,CELL_TYPE,CELL_CLASS
2076,2077,Tumor 3,Tumor
4,5,Tumor 6 / DC,Tumor
1993,1994,Tumor 7,Tumor
2021,2022,Tumor 3,Tumor
2010,2011,Tumor 3,Tumor
2028,2029,Tumor 3,Tumor
2007,2008,Tumor 7,Tumor
1989,1990,Tumor 7,Tumor
1991,1992,Tumor 3,Tumor
2075,2076,Tumor 4,Tumor
2070,2071,Tumor 3,Tumor
2004,2005,Tumor 3,Tumor
1938,1939,Tumor 4,Tumor
49,50,Tumor 3,Tumor
76,77,Tumor 3,Tumor
2011,2012,Tumor 1,Tumor
2025,2026,Tumor 1,Tumor
1996,1997,Tumor 7,Tumor
2030,2031,Tumor 7,Tumor
3,4,Tumor 4,Tumor
1,2,Tumor 4,Tumor
53,54,Tumor 3,Tumor
107,108,Tumor 3,Tumor
95,96,Tumor 3,Tumor
159,160,Tumor 3,Tumor
179,180,Tumor 3,Tumor
129,130,Tumor 3,Tumor
127,128,Tumor 3,Tumor
244,245,Tumor 3,Tumor
1975,1976,Tumor 1,Tumor
1862,1863,Tumor 4,Tumor
1430,1431,Tumor 4,Tumor
14,15,Tumor 1,Tumor
23,24,Tumor 1,Tumor
233,234,Tumor 3,Tumor
382,383,Tumor 3,Tumor
346,347,Tumor 3,Tumor
132,133,Tumor 3,Tumor
125,126,Tumor 3,Tumor
105,106,Tumor 3,Tumor
79,80,Tumor 3,Tumor
89,90,Tumor 1,Tumor
111,112,Tumor 1,Tumor
1076,1077,Tumor 6 / DC,Tumor
415,416,Tumor 3,Tumor
401,402,Tumor 3,Tumor
978,979,Tumor 1,Tumor
1929,1930,Tumor 3,Tumor
431,432,Tumor 2 (Ki67 Proliferating),Tumor
438,439,Tumor 3,Tumor
441,442,Tumor 3,Tumor
932,933,Tumor 1,Tumor
873,874,Tumor 7,Tumor
836,837,Tumor 7,Tumor
894,895,Tumor 7,Tumor
1033,1034,Tumor 4,Tumor
130,131,Tumor 3,Tumor
300,301,Tumor 2 (Ki67 Proliferating),Tumor
230,231,Tumor 3,Tumor
367,368,Tumor 2 (Ki67 Proliferating),Tumor
390,391,Tumor 2 (Ki67 Proliferating),Tumor
412,413,Tumor 2 (Ki67 Proliferating),Tumor
398,399,Tumor 3,Tumor
343,344,Tumor 3,Tumor
357,358,Tumor 2 (Ki67 Proliferating),Tumor
434,435,Tumor 3,Tumor
670,671,Tumor 2 (Ki67 Proliferating),Tumor
668,669,Tumor 3,Tumor
162,163,Tumor 4,Tumor
482,483,Tumor 4,Tumor
236,237,Tumor 4,Tumor
255,256,Tumor 3,Tumor
229,230,Tumor 3,Tumor
294,295,Tumor 2 (Ki67 Proliferating),Tumor
285,286,Tumor 3,Tumor
262,263,Tumor 3,Tumor
283,284,Tumor 3,Tumor
309,310,Tumor 3,Tumor
339,340,Tumor 3,Tumor
303,304,Tumor 2 (Ki67 Proliferating),Tumor
276,277,Tumor 3,Tumor
334,335,Tumor 3,Tumor
166,167,Tumor 1,Tumor
160,161,Tumor 3,Tumor
201,202,Tumor 3,Tumor
155,156,Tumor 3,Tumor
199,200,Tumor 3,Tumor
85,86,Tumor 4,Tumor
1460,1461,Tumor 3,Tumor
1515,1516,Tumor 1,Tumor
1538,1539,Tumor 3,Tumor
1395,1396,Tumor 3,Tumor
463,464,Tumor 2 (Ki67 Proliferating),Tumor
430,431,Tumor 3,Tumor
