,CELL_ID,CELL_TYPE,CELL_CLASS
2271,2272,Tumor 4,Tumor
2259,2260,Tumor 3,Tumor
1202,1203,Tumor 1,Tumor
2256,2257,Tumor 6 / DC,Tumor
2215,2216,Tumor 6 / DC,Tumor
830,831,Tumor 5,Tumor
1523,1524,Tumor 1,Tumor
1598,1599,Tumor 4,Tumor
1851,1852,Tumor 1,Tumor
1876,1877,Tumor 7,Tumor
1900,1901,Tumor 7,Tumor
1948,1949,Tumor 2 (Ki67 Proliferating),Tumor
2224,2225,Tumor 4,Tumor
2199,2200,Tumor 1,Tumor
2194,2195,Tumor 4,Tumor
1251,1252,Tumor 4,Tumor
1155,1156,Tumor 7,Tumor
1000,1001,Tumor 1,Tumor
934,935,Tumor 7,Tumor
1064,1065,Tumor 1,Tumor
2266,2267,Tumor 4,Tumor
1166,1167,Tumor 3,Tumor
1237,1238,Tumor 2 (Ki67 Proliferating),Tumor
1724,1725,Tumor 1,Tumor
1677,1678,Tumor 1,Tumor
1340,1341,Tumor 7,Tumor
1333,1334,Tumor 4,Tumor
1501,1502,Tumor 1,Tumor
1609,1610,Tumor 7,Tumor
1562,1563,Tumor 1,Tumor
1186,1187,Tumor 7,Tumor
1083,1084,Tumor 7,Tumor
1903,1904,Tumor 7,Tumor
1928,1929,Tumor 7,Tumor
1927,1928,Tumor 7,Tumor
1896,1897,Tumor 7,Tumor
1866,1867,Tumor 7,Tumor
1966,1967,Tumor 7,Tumor
2183,2184,Tumor 1,Tumor
2228,2229,Tumor 1,Tumor
2239,2240,Tumor 1,Tumor
2245,2246,Tumor 2 (Ki67 Proliferating),Tumor
2120,2121,Tumor 6 / DC,Tumor
2142,2143,Tumor 7,Tumor
1252,1253,Tumor 1,Tumor
1217,1218,Tumor 7,Tumor
1299,1300,Tumor 1,Tumor
694,695,Tumor 3,Tumor
2171,2172,Tumor 7,Tumor
2191,2192,Tumor 4,Tumor
2136,2137,Tumor 1,Tumor
982,983,Tumor 4,Tumor
2192,2193,Tumor 6 / DC,Tumor
1247,1248,Tumor 1,Tumor
1293,1294,Tumor 6 / DC,Tumor
26,27,Tumor 6 / DC,Tumor
2210,2211,Tumor 3,Tumor
2255,2256,Tumor 6 / DC,Tumor
2235,2236,Tumor 6 / DC,Tumor
1131,1132,Tumor 4,Tumor
1119,1120,Tumor 3,Tumor
1127,1128,Tumor 2 (Ki67 Proliferating),Tumor
941,942,Tumor 6 / DC,Tumor
988,989,Tumor 7,Tumor
916,917,Tumor 7,Tumor
1776,1777,Tumor 7,Tumor
1736,1737,Tumor 1,Tumor
1748,1749,Tumor 7,Tumor
1746,1747,Tumor 7,Tumor
1807,1808,Tumor 7,Tumor
1608,1609,Tumor 7,Tumor
1536,1537,Tumor 1,Tumor
1506,1507,Tumor 7,Tumor
1553,1554,Tumor 7,Tumor
1565,1566,Tumor 1,Tumor
1670,1671,Tumor 7,Tumor
1633,1634,Tumor 7,Tumor
1710,1711,Tumor 7,Tumor
1701,1702,Tumor 7,Tumor
1629,1630,Tumor 7,Tumor
