,CELL_ID,CELL_TYPE,CELL_CLASS
119,120,Tumor 2 (Ki67 Proliferating),Tumor
135,136,Tumor 2 (Ki67 Proliferating),Tumor
587,588,Tumor 4,Tumor
89,90,Tumor 2 (Ki67 Proliferating),Tumor
33,34,Tumor 4,Tumor
78,79,Tumor 2 (Ki67 Proliferating),Tumor
279,280,Tumor 1,Tumor
178,179,Tumor 3,Tumor
155,156,Tumor 3,Tumor
201,202,Tumor 3,Tumor
249,250,Tumor 3,Tumor
1168,1169,Tumor 4,Tumor
1351,1352,Tumor 4,Tumor
1409,1410,Tumor 4,Tumor
368,369,Tumor 1,Tumor
712,713,Tumor 1,Tumor
723,724,Tumor 6 / DC,Tumor
745,746,Tumor 1,Tumor
270,271,Tumor 3,Tumor
188,189,Tumor 3,Tumor
254,255,Tumor 6 / DC,Tumor
168,169,Tumor 1,Tumor
187,188,Tumor 1,Tumor
205,206,Tumor 1,Tumor
248,249,Tumor 2 (Ki67 Proliferating),Tumor
1473,1474,Tumor 1,Tumor
903,904,Tumor 1,Tumor
1187,1188,Tumor 1,Tumor
1245,1246,Tumor 3,Tumor
1239,1240,Tumor 6 / DC,Tumor
77,78,Tumor 4,Tumor
2084,2085,Tumor 3,Tumor
2358,2359,Tumor 7,Tumor
1371,1372,Tumor 2 (Ki67 Proliferating),Tumor
1410,1411,Tumor 3,Tumor
696,697,Tumor 1,Tumor
568,569,Tumor 7,Tumor
458,459,Tumor 1,Tumor
467,468,Tumor 7,Tumor
488,489,Tumor 2 (Ki67 Proliferating),Tumor
750,751,Tumor 6 / DC,Tumor
777,778,Tumor 1,Tumor
797,798,Tumor 1,Tumor
734,735,Tumor 1,Tumor
747,748,Tumor 4,Tumor
1196,1197,Tumor 2 (Ki67 Proliferating),Tumor
1251,1252,Tumor 3,Tumor
865,866,Tumor 3,Tumor
821,822,Tumor 1,Tumor
878,879,Tumor 4,Tumor
893,894,Tumor 2 (Ki67 Proliferating),Tumor
1049,1050,Tumor 2 (Ki67 Proliferating),Tumor
1085,1086,Tumor 3,Tumor
22,23,Tumor 2 (Ki67 Proliferating),Tumor
28,29,Tumor 4,Tumor
208,209,Tumor 3,Tumor
209,210,Tumor 3,Tumor
260,261,Tumor 3,Tumor
242,243,Tumor 3,Tumor
261,262,Tumor 2 (Ki67 Proliferating),Tumor
191,192,Tumor 2 (Ki67 Proliferating),Tumor
166,167,Tumor 3,Tumor
273,274,Tumor 3,Tumor
269,270,Tumor 3,Tumor
314,315,Tumor 3,Tumor
241,242,Tumor 6 / DC,Tumor
237,238,Tumor 3,Tumor
1480,1481,Tumor 4,Tumor
1324,1325,Tumor 3,Tumor
1470,1471,Tumor 3,Tumor
1436,1437,Tumor 7,Tumor
1513,1514,Tumor 6 / DC,Tumor
1297,1298,Tumor 4,Tumor
1936,1937,Tumor 4,Tumor
1103,1104,Tumor 7,Tumor
1074,1075,Tumor 3,Tumor
