,CELL_ID,CELL_TYPE,CELL_CLASS
453,454,Tumor 4,Tumor
2436,2437,Tumor 4,Tumor
2435,2436,Tumor 2 (Ki67 Proliferating),Tumor
2431,2432,Tumor 4,Tumor
2441,2442,Tumor 4,Tumor
2440,2441,Tumor 4,Tumor
2427,2428,Tumor 6 / DC,Tumor
1304,1305,Tumor 4,Tumor
1130,1131,Tumor 7,Tumor
668,669,Tumor 4,Tumor
2352,2353,Tumor 4,Tumor
2437,2438,Tumor 4,Tumor
2442,2443,Tumor 4,Tumor
2366,2367,Tumor 4,Tumor
2419,2420,Tumor 3,Tumor
364,365,Tumor 1,Tumor
1522,1523,Tumor 1,Tumor
992,993,Tumor 2 (Ki67 Proliferating),Tumor
1162,1163,Tumor 3,Tumor
1143,1144,Tumor 3,Tumor
1806,1807,Tumor 1,Tumor
1876,1877,Tumor 4,Tumor
2046,2047,Tumor 4,Tumor
2051,2052,Tumor 1,Tumor
2009,2010,Tumor 7,Tumor
1965,1966,Tumor 1,Tumor
2002,2003,Tumor 1,Tumor
1979,1980,Tumor 4,Tumor
1922,1923,Tumor 1,Tumor
2005,2006,Tumor 4,Tumor
1989,1990,Tumor 2 (Ki67 Proliferating),Tumor
2323,2324,Tumor 1,Tumor
1573,1574,Tumor 1,Tumor
1500,1501,Tumor 2 (Ki67 Proliferating),Tumor
1531,1532,Tumor 2 (Ki67 Proliferating),Tumor
1540,1541,Tumor 2 (Ki67 Proliferating),Tumor
1649,1650,Tumor 2 (Ki67 Proliferating),Tumor
1607,1608,Tumor 1,Tumor
1713,1714,Tumor 2 (Ki67 Proliferating),Tumor
1643,1644,Tumor 1,Tumor
1685,1686,Tumor 2 (Ki67 Proliferating),Tumor
1731,1732,Tumor 1,Tumor
1886,1887,Tumor 3,Tumor
2014,2015,Tumor 1,Tumor
2331,2332,Tumor 1,Tumor
2391,2392,Tumor 3,Tumor
2411,2412,Tumor 4,Tumor
2362,2363,Tumor 3,Tumor
2335,2336,Tumor 3,Tumor
2371,2372,Tumor 4,Tumor
2421,2422,Tumor 4,Tumor
2404,2405,Tumor 2 (Ki67 Proliferating),Tumor
2407,2408,Tumor 4,Tumor
2417,2418,Tumor 4,Tumor
2416,2417,Tumor 6 / DC,Tumor
2398,2399,Tumor 4,Tumor
2367,2368,Tumor 4,Tumor
2018,2019,Tumor 6 / DC,Tumor
1953,1954,Tumor 3,Tumor
1983,1984,Tumor 4,Tumor
2341,2342,Tumor 4,Tumor
2403,2404,Tumor 3,Tumor
2410,2411,Tumor 3,Tumor
2432,2433,Tumor 4,Tumor
2406,2407,Tumor 4,Tumor
2400,2401,Tumor 3,Tumor
2382,2383,Tumor 3,Tumor
2395,2396,Tumor 3,Tumor
2318,2319,Tumor 6 / DC,Tumor
2370,2371,Tumor 2 (Ki67 Proliferating),Tumor
2337,2338,Tumor 2 (Ki67 Proliferating),Tumor
2350,2351,Tumor 3,Tumor
2036,2037,Tumor 3,Tumor
1721,1722,Tumor 3,Tumor
1671,1672,Tumor 3,Tumor
1645,1646,Tumor 3,Tumor
1657,1658,Tumor 3,Tumor
1690,1691,Tumor 2 (Ki67 Proliferating),Tumor
8,9,Tumor 4,Tumor
3,4,Tumor 4,Tumor
27,28,Tumor 4,Tumor
910,911,Tumor 2 (Ki67 Proliferating),Tumor
